Aali Pascha	1815
Friedrich Thun und Hohenstein	7. Mai 1810
Paul Thureau-Dangin	14. Dez. 1837
Thurn	1580
Joseph Aloys Tichatschek	11. Juli 1807
George Ticknor	1. Aug. 1791
Adolf Tidemand	14. Aug. 1814
Ludwig Tieck	31. Mai 1773
Christoph August Tiedge	14. Dez. 1752
Tieffenbrucker	1514
Cornelis Petrus Tiele	16. Dez. 1830
Tiepolo	1696
Viktor Tilgner	25. Okt. 1844
Claude Tillier	11. April 1801
Hermann Tillmanns	3. Okt. 1844
Timur	9. April 1336
Edgar Tinel	27. März 1854
Alexine Tinne	17. Okt. 1839
Tintoretto	1518
Tippo Tip	1837
Tipu Sahib Sultan von Maisur	19. Nov. 1749
Girolamo Tiraboschi	18. Dez. 1731
Alfred von Tirpitz	19. März 1849
Johann Heinrich Tischbein	3. Okt. 1722
Konstantin von Tischendorf	18. Jan. 1815
François Félix Tisserand	13. Jan. 1845
Victor Tissot	15. Aug. 1845
Koloman von Tisza	16. Dez. 1830
Tommaso Tittoni	4. Mai 1849
Robert Toberentz	4. Dez. 1849
Adolf Tobler	23. Mai 1835
Adalbert Tobold	22. Nov. 1827
Alexis Clérel de Tocqueville	29. Juli 1805
Togo	1847
Tököly	1656
Toland	1670
Franz Toldy	10. Aug. 1805
Toll	1858
Karl Ferdinand Toll	19. April 1777
Hendrik Tollens	24. Sept. 1780
Alexej Konstantinowitsch Tolstój	5. Sept. 1817
Tolstój	1823
Nikolajewitsch Tolstój	9. Sept. 1828
Václav Vladivoj Tomek	31. Mai 1818
Alexander Tondeur	17. Juli 1829
Tooke	1774
Zacharias Topelius	14. Jan. 1818
Karl Töpfer	26. Dez. 1792
Rudolf Töpffer	31. Jan. 1799
August Toepler	7. Sept. 1836
Torcy	1665
Otto Torell	5. Juni 1828
Torlonia	1754
Karl Torresani	19. April 1846
Evangelista Torricelli	15. Okt. 1608
Lennart Torstenson	17. Aug. 1603
Paolo Toschi	7. Juni 1788
Tóth	14. Okt. 1844
Koloman Tóth	30. März 1831
Franz Eduard Totleben	20. Mai 1818
Tournachon	5. April 1820
Joseph Pitton de Tournefort	5. Juni 1656
Anne Hilarion de Cotentin, Tourville	24. Nov. 1642
Anna Louise Geertruida Toussaint	16. Sept. 1812
Toussaint	1813
Toussaint l'Ouverture	1743
Heinz Tovote	12. April 1864
Albert Traeger	12. Juni 1830
Johann Georg Tralles	15. Okt. 1763
Joseph Ludovic Trarieux	30. Nov. 1840
Ludwig Traube	12. Jan. 1818
Franz Trautmann	28. März 1813
Moritz Trautmann	24. März 1842
Trauttmansdorff	5. Sept. 1845
Trefort	1817
Heinrich von Treitschke	15. Sept. 1834
Franz Trenck	1. Jan. 1711
Friedrich Adolf Trendelenburg	30. Nov. 1802
Trepow	1855
Hermann von Tresckow	1. Mai 1818
Udo von Tresckow	7. April 1808
George Otto Trevelyan	20. Juli 1838
Spyridon Trikupis	20. April 1788
August Trinius	31. Juli 1851
Trippel	1744
Johannes Tritheim	1. Febr. 1462
Louis Jules Trochu	12. Mai 1815
Johannes Trojan	14. Aug. 1837
Frances Trollope	10. März 1780
Anton Tröltsch	3. April 1829
Tromp	1597
Lothar von Trotha	3. Juli 1848
Constant Troyon	28. Aug. 1810
Truber	1508
Nikolaus Trübner	12. Juni 1817
Antonio de Trueba y la Quintana	24. Dez. 1821
Peter Iljitsch Tschajkowskij	7. Mai 1840
Pafnutij Lwowitsch Tschébyschew	26. Mai 1821
Tschech	1789
Anton Pawlowitsch Tschechów	29. Jan. 1860
Gustav Tschermak	19. April 1836
Tschernájew	1828
Tschernyschew	1779
Nikolaj Gawrilowitsch Tschernyschewskij	24. Juli 1828
Tschirnhaus	10. April 1651
Heinrich von Tschirschky und Bögendorff	15. Aug. 1858
Tschudi	1505
Teresina Tua	22. Mai 1867
Tuan	1855
Friedrich Tuch	17. Dez. 1806
Henri de Latour d'Auvergne Turenne	11. Sept. 1611
Iwan Sergejewitsch Turgénjev	9. Nov. 1818
Anne Robert Jacques Turgot	10. Mai 1727
Johannes Turmair	4. Juli 1477
Sharon Turner	24. Sept. 1768
William Turner	23. April 1775
Türr	1825
Richard Türschmann	26. Mai 1834
August Twesten	11. April 1789
John Tyler	29. März 1790
Edward Burnett Tylor	2. Okt. 1832
Tyndale	1483
John Tyndall	21. Aug. 1820
Rudolf Tyrolt	23. Nov. 1848
Heinrich Gottlieb Tzschirner	14. Nov. 1778
Friedrich Überweg	22. Jan. 1826
Uccello	1397
Mario Uchard	28. Dez. 1824
Franz Uchatius	20. Okt. 1811
Esper Esperowitsch Uchtomskij	26. Aug. 1861
Cuno von Üchtritz	3. Juli 1856
Friedrich von Üchtritz	12. Sept. 1800
Edgar von Üchtritz-Steinkirch	5. April 1866
Udine	1487
Ludwig Uhland	26. April 1787
Leberecht Uhlich	27. Febr. 1799
Johann Alexis Uhrich	15. Febr. 1802
Kornel Ujejski	4. Juni 1823
Karl Eugen Ujfalvy	16. Mai 1842
Friedrich August Ukert	28. Okt. 1780
Otto Ule	22. Jan. 1820
Emanuel Ullmann	28. Febr. 1843
Karl Ullmann	15. März 1796
Ulrich	1487
Pauline Ulrich	19. Dez. 1835
Hermann Ulrici	23. März 1806
Ulrike Eleonore	23. Jan. 1688
Ulybyschew	1791
Friedrich Umlauft	6. Juni 1844
Karl Friedrich Umpfenbach	5. Juni 1832
Joseph Unger	2. Juli 1828
Max Unger	26. Jan. 1854
Unger	1837
Karl Wilhelm Ferdinand Unzelmann	1. Juli 1753
Joseph Uphues	23. Mai 1850
Ludwig von Urlichs	9. Nov. 1813
Urquhart	1805
Urquiza	1800
Hermann Karl Usener	13. Okt. 1834
Peter Karlowitsch Uslar	2. Sept. 1816
Johann Martin Usteri	12. April 1763
Uttmann	1514
Joseph von Utzschneider	2. März 1763
Sergej Semenowitsch Uwárow	5. Sept. 1786
Johann Peter Uz	3. Okt. 1720
Vaga	1500
Johannes Vahlen	27. Sept. 1830
Hans Vaihinger	25. Sept. 1852
Albin Valabrègue	17. Dez. 1853
Ludwig Kaspar Valckenaer	7. Juni 1715
Juan Valera	18. Okt. 1824
Valle	2. April 1586
Valois	1270
Antonio Maria Valsalva	15. Febr. 1666
Vámbéry	19. März 1832
Vanbrugh	Jan. 1664
Vancouver	1758
Albert Vandal	7. Juli 1853
Dominique René Vandamme	5. Nov. 1770
Cornelius Vanderbilt	27. Mai 1794
Emile Vandervelde	25. Jan. 1866
Ernest Marie Hubert Van Dyck	2. April 1861
Karl Adolf von Vangerow	5. Juni 1808
Vanloo	1684
Louis Gustave Vapereau	4. April 1819
Friedrich Gottlob Karl Varnbüler	13. Mai. 1809
Karl August Varnhagen von Ense	21. Febr. 1785
Konrad Varrentrapp	17. Aug. 1844
Giorgio Vasari	30. Juli 1511
Joaquim da Fon Vasconcellos	10. Febr. 1849
Claudius Franz Vaszary	12. Febr. 1832
Vatersche Körperchen	9. Dez. 1684
Sébastien le Prêtre de Vauban	1. Mai 1633
Jacques de Vaucanson	24. Febr. 1709
Benjamin Vautier	27. April 1829
Vega	1503
Vega	1756
Vega	25. Nov. 1562
Philipp Veit	13. Febr. 1793
Vela	1822
Velde	1599
Velhagen & Klasing	19. Okt. 1846
Vendóme	22. April 1518
Jakob Venedey	24. Mai 1805
Eugène Verboeckhoven	8. Juni 1798
Giuseppe Verdi	9. Okt. 1813
Julius v Verdy du Vernois	19. Juli 1832
Verga	1840
Vergerio	1498
Emile Verhaeren	21. Mai 1855
Jan Verhas	9. Jan. 1834
Vermeyen	1500
Karl Verner	7. März 1846
Vernier	1580
Verrocchio	1435
Verschaffelt	1710
Max Verworn	4. Nov. 1863
Andreas Vesalius	31. Dez. 1514
Amerigo Vespucci	9. März 1451
Françoise Rose Vestris	7. April 1743
Vetterligewehr	1822
Moritz Vetter von der Lilie	21. Aug. 1856
Louis Veuillot	11. Okt. 1813
Pauline Viardot-Garcia	18. Juli 1821
Julien Viaud	14. Jan. 1850
Giovon Battista Vico	23. Juni 1668
Claude Victor-Perrin	7. Dez. 1764
Victors	1620
Heinrich Viehoff	28. April 1804
Joseph Marie Vien	18. Juni 1716
Karl von Vierordt	1. Juli 1818
Wilhelm Viëtor	25. Dez. 1850
Henri Vieuxtemps	20. Febr. 1820
Vieweg	11. März 1761
Vignola	1. Okt. 1507
Alfred Victor Vigny	27. März 1797
Viktor Amadeus I.	8. Mai 1587
Viktor Emanuel Könige von Sardinien und Italien	24. Juli 1759
Viktoria	21. Nov. 1840
Viktoria I.	24. Mai 1819
Pasquale Villari	12. Okt. 1827
Claude Louis Hector Villars	8. Mai 1653
José Villegas	26. Aug. 1848
Joseph Villèle	14. Aug. 1773
Abel François Villemain	11. Juni 1790
Villeroi	1542
Hermine Villinger	6. Febr. 1849
August Friedrich Christian Vilmar	21. Nov. 1800
Arvède Vincent	17. Nov. 1840
Vinck-Boons	1578
Friedrich Ludwig Wilhelm Philipp Vincke	23. Dez. 1774
Vinea	1846
Alexandre Vinet	17. Juni 1797
Salvador Viniegra y Lasso	23. Nov. 1862
Heiliger Vinzenz	24. April 1576
Viollet-le-Duc	21. Jan. 1814
Rudolf Virchow	13. Okt. 1821
Friedrich Theodor Vischer	30. Juni 1807
Ennio Quirino Visconti	1. Nov. 1751
Emilio Visconti-Venosta	22. Jan. 1829
Vivien de Saint-Martin	22. Mai 1802
Vlachos	1838
Christian Leberecht Vogel	6. April 1759
Eduard Vogel	7. März 1829
Hermann Karl Vogel	3. April 1842
Hermann Wilhelm Vogel	16. März 1834
Hugo Vogel	15. Febr. 1855
Karl Vogel	4. Mai 1828
Eduard Vogel von Falckenstein	5. Jan. 1797
Heinrich Vogl	15. Jan. 1845
Johann Nepomuk Vogl	7. Febr. 1802
Georg Joseph Vogler	15. Juni 1749
Vogorides	1825
Karl Vogt	5. Juli 1817
Charles Jean Melchior Vogüé	18. Okt. 1829
Christian Gottlob von Voigt	23. Dez. 1743
Johannes Voigt	27. Aug. 1786
Helene Voigt-Diederichs	26. Mai 1876
Richard Voigtel	31. Mai 1829
Konstant. Bernhard von Voigts-Rhetz	16. Juli 1809
August von Voit	17. Febr. 1801
Wilhelm Volck	18. Nov. 1835
Georg Heinrich Otto Volger	30. Jan. 1822
Joseph Völk	9. Mai 1819
Johannes Immanuel Volkelt	21. Juli 1848
Alfred Wilhelm Volkmann	1. Juli 1801
Robert Volkmann	6. April 1815
Georg von Vollmar	7. März 1850
Karl Vollmöller	16. Okt. 1848
Volney	3. Febr. 1757
Alessandro Volta	18. Febr. 1745
Voltaire	21. Nov. 1694
Volterra	1509
Johann Michael Voltz	15. Okt. 1784
Hermann Volz	31. März 1847
Joost van den Vondel	17. Nov. 1587
Denis Iwanowitsch Von-Wisin	14. April 1744
Michael Vörösmarty	1. Dez. 1800
Vorstermann	1578
Vos	1585
Voß	1577
Johann Heinrich Voß	20. Febr. 1751
Julius von Voß	24. Aug. 1768
Richard Voß	2. Sept. 1851
Vriendt	1843
Hugo de Vries	16. Febr. 1848
Matthias de Vries	9. Nov. 1820
Vujic	1853
Johann August Vullers	23. Okt. 1803
Christian August Vulpius	23. Jan. 1762
Gustav Waagen	11. Febr. 1794
Johannes Dietrich van der Waals	23. Nov. 1837
Adolf Wach	11. Sept. 1843
Hans Wachenhusen	1. Jan. 1823
Johann Friedrich Ludwig Wachler	15. April 1767
Ernst Wilhelm Gottlieb Wachsmuth	28. Dez. 1784
Kurt Wachsmuth	27. April 1837
Theodor Wachtel	10. März 1823
Karl Georg von Waechter	24. Dez. 1797
Wackenroder	1773
Philipp Wackernagel	28. Juni 1800
William Henry Waddington	11. Dez. 1826
Jan Wagenaar	28. Okt. 1709
Hermann Wagener	8. März 1815
Michael Wagmüller	14. April 1839
Adolf Wagner	25. März 1835
Alexander Wagner	16. April 1838
Ernst Wagner	2. Febr. 1769
Ernst Wagner	12. März 1829
Heinrich Leopold Wagner	19. Febr. 1747
Hermann Wagner	23. Juni 1840
Johann Martin von Wagner	24. Juni 1777
Moritz Wagner	3. Okt. 1813
Otto Wagner	13. Juli 1841
Paul Wagner	7. März 1843
Richard Wagner	22. Mai 1813
Rudolf Wagner	30. Juni 1805
Johanna Wagner-Jachmann	13. Okt. 1828
Göran Wahlenberg	1. Okt. 1780
Adolf Wahrmund	10. Juni 1827
Georg Waitz	9. Okt. 1813
Theodor Waitz	17. März 1821
Familie Walch	17. Juni 1693
Charles Athanase Walckenaer	25. Dez. 1771
Benedikt Waldeck	31. Juli 1802
Georg Friedrich Waldeck	31. Jan. 1620
Pierre Marie Waldeck-Rousseau	2. Dez. 1846
Waldemar	1131
Friedrich Wilhelm Waldemar	2. Aug. 1817
Alfred Waldersee	8. April 1832
Wilhelm Waldeyer	6. Okt. 1836
Johann Waldstätten	24. Juni 1833
Waldstein	4. Febr. 1849
Alexander Florian Joseph Colonna Walewski	4. Mai 1810
Francis Amasa Walker	2. Juli 1840
William Walker	8. Mai 1824
Alfred Russel Wallace	8. Jan. 1823
Sir Donald Mackenzie Wallace	11. Nov. 1841
Lewis Wallace	10. April 1827
William Wallace	1. Juli 1814
Wallenstein	24. Sept. 1583
Johan Olof Wallin	15. Okt. 1779
Wallmoden	6. Febr. 1769
Franz Wallner	25. Sept. 1810
Henri Alexandre Wallon	23. Dez. 1812
Wilhelm Walloth	6. Okt. 1856
Sir Robert Walpole	26. Aug. 1676
Walsingham	1536
Adalbert von Waltenhofen	14. Mai 1828
Eduard Walther	21. Mai 1840
Peter Alexandrowitsch Walújew	4. Okt. 1814
Hermann Theodor Wangemann	27. März 1818
Konrad Wangenheim	17. Sept. 1849
Peter Semenowitsch Wánnowskij	6. Dez. 1822
Johann Eduard Wappäus	17. Mai 1812
Gustav Wappers	23. Aug. 1803
Emil Warburg	9. März 1846
Peter Egerton Warburton	15. Aug. 1813
Humphry Ward	11. Juni 1851
John Quincy Adams Ward	29. Juni 1839
Johannes Eugenius Bülow Warming	3. Nov. 1841
Gustav Warneck	6. März 1834
Susan Warner	11. Juli 1819
Samuel Warren	23. Mai 1807
Wartenberg	1643
Hermann Wartensleben	17. Okt. 1826
Robert Warthmüller	16. Jan. 1859
Warton	1728
Warwick	1381
Washington	22. Febr. 1732
Johann Wilhelm von Wasielewski	17. Juni 1822
Karl Wassmannsdorf	24. April 1821
Waterhouse	1830
Watt	19. Jan. 1736
Antoine Watteau	10. Okt. 1684
Wilhelm Wattenbach	22. Sept. 1819
Watts	1817
Alphonse Wauters	13. April 1817
Alphonse Jules Wauters	13. Juni 1845
Emile Wauters	29. Nov. 1846
Albrecht Weber	17. Febr. 1825
Beda Weber	26. Okt. 1798
Friedrich Wilhelm Weber	26. Dez. 1813
Georg Weber	10. Febr. 1808
Johann Jakob Weber	3. April. 1803
Karl Julius Weber	16. April 1767
Karl Maria Weber	18. Dez. 1786
Max Maria Weber	25. April 1822
Theodor Weber	28. Jan. 1836
Wilhelm Weber	24. Okt. 1804
Georg Rudolf Weckherlin	15. Sept. 1584
Frank Wedekind	24. Juli 1864
Karl Wedel	5. Febr. 1842
Wilhelm von Wedel-Piesdorf	20. Mai 1837
Friedrich von Weech	16. Okt. 1837
Weenix	1621
Franz Xaver Wegele	28. Okt. 1823
Julius August Ludwig Wegscheider	17. Sept. 1771
Feodor Wehl	19. Febr. 1821
Wilhelm Wehrenpfennig	25. März 1829
Johann Jakob Wehrli	6. Nov. 1790
Karl Weierstraß	31. Okt. 1816
Karl Weigand	18. Nov. 1804
Weigel	1533
Joseph Weigl	28. März 1766
Gustav Weil	25. April 1808
Joseph von Weilen	28. Dez. 1828
Friedrich Weinbrenner	9. Nov. 1766
Hermann Weingarten	12. März 1834
Felix Weingartner	2. Juni 1863
Karl Weinhold	26. Okt. 1823
Julius Weisbach	10. Aug. 1806
Christian Weise	30. April. 1642
Klara Weise	20. Nov. 1823
Joseph Weiser	10. Mai 1847
Adam Weishaupt	6. Febr. 1748
August Weismann	17. Jan. 1834
Bernhard Weiß	20. Juni 1827
Hermann Weiß	29. Sept. 1833
Johann Baptist Weiß	17. Juli 1820
Karl Weiß	23. Nov. 1850
Christian Felix Weiße	28. Jan. 1726
Karl Weitbrecht	8. Dez. 1847
Karl Weizsäcker	11. Dez. 1822
Alexander Wekerle	14. Nov. 1844
Friedrich Gottlieb Welcker	4. Nov. 1784
Richard Cowley Wellesley	20. Juni 1760
Julius Wellhausen	17. Mai 1844
Wellington	1. Mai. 1769
Sir Thomas Spencer Wells	3. Febr. 1818
Henri Welschinger	2. Febr. 1846
Welser	1527
Zeno Welsersheimb	1. Dez. 1835
Joseph Wenglein	5. Okt. 1845
Wenzel	1361
August Werder	12. Sept. 1808
Bernhard Franz Wilhelm von Werder	27. Febr. 1823
Karl Werder	13. Dez. 1806
Ludwig Werder	17. Mai 1808
Wasilij Wereschtschágin	26. Okt. 1842
Adriaen van der Werff	21. Jan. 1659
Henrik Arnold Wergeland	17. Juni 1808
Joseph Werndl	26. Febr. 1831
Abraham Gottlob Werner	25. Sept. 1750
Anton von Werner	9. Mai 1843
Bartholomäus von Werner	18. Juli 1842
Franz von Werner	30. Mai 1836
Fritz Werner	3. Dez. 1827
Gustav Albert Werner	12. März 1809
Karl Werner	4. Okt. 1808
Karl Werner	8. März 1821
Reinhold von Werner	10. Mai 1825
Zacharias Werner	18. Nov. 1768
Wernicke	Jan. 1661
Werth	1592
Julius Werther	20. Mai 1838
Emil Werunsky	6. April 1851
John Wesley	17. Juni 1703
Wessel	1420
Wesselówskij	1838
Joseph Wessely	6. März 1814
Josephine Wessely	18. März 1860
Ignaz Heinrich Karl Wessenberg	4. Nov. 1774
Benjamin West	10. Okt. 1738
Lorenz von Westenrieder	1. Aug. 1748
Niels Ludwig Westergaard	27. Okt. 1815
George Westermann	23. Febr. 1810
Westmacott	1775
Karl Westphal	23. März 1833
Rudolf Westphal	3. Juli 1826
Wettstein	1693
Georg Daniel Eduard Weyer	26. Mai 1818
Karl Weyprecht	8. Sept. 1838
Rudolf Weyr	22. März 1847
Jakob Johann Weyrauch	8. Okt. 1845
Henry Wheaton	27. Nov. 1785
Wheatstone	1802
William Whewell	24. Mai 1794
Andrew Dickson White	7. Nov. 1832
George Whitefield	16. Dez. 1714
Sidney Whitman	9. Jan. 1848
Walt Whitman	31. Mai 1819
Josiah Dwight Whitney	23. Nov. 1819
William Dwight Whitney	9. Febr. 1827
John Greenleaf Whittier	17. Dez. 1807
Sir Joseph Whitworth	21. Dez. 1803
Edward Whymper	27. April 1840
Tilemann Dothias Wiarda	18. Okt. 1746
Johann Hinrich Wichern	21. April 1808
Ernst Wichert	11. März 1831
Wichmann	1784
Julius von Wickede	11. Juli 1819
Wilhelm von Wickede	5. Dez. 1830
Albrecht Wickenburg	4. Dez. 1838
Joseph Viktor Widmann	20. Febr. 1842
Max Widnmann	16. Okt. 1812
Friedrich Wieck	18. Aug. 1785
Gustav Wiedemann	2. Okt. 1826
Robert Wiedersheim	21. April 1848
Christoph Martin Wieland	5. Sept. 1733
Alexander Wielopolski	15. März 1803
Ludolf Wienbarg	25. Dez. 1802
Heinrich Wieniawski	10. Juli 1835
Wilhelm Friedrich Wieprecht	10. Aug. 1802
Anton Wiertz	22. Febr. 1806
Ludwig Wiese	30. Dez. 1806
Friedrich Wieseler	19. Okt. 1811
Julius Wiesner	20. Jan. 1838
Eduard von Wietersheim	10. März 1787
Julius Wiggers	17. Dez. 1811
Hugo Freiherr von Wilamowitz-Möllendorff	18. Juni 1840
William Wilberforce	24. Aug. 1759
Christian Wilberg	20. Nov. 1839
Adolf Wilbrandt	24. Aug. 1837
Martin Wilckens	3. April 1834
Johann Nepomuk Wilczek	7. Dez. 1837
Oskar O'Flahertie Wills Wilde	15. Okt. 1856
Ernst von Wildenbruch	3. Febr. 1845
Ottilie Wildermuth	22. Febr. 1817
Wilhelm	1227
Wilhelm I.	22. März 1797
Wilhelm II.	27. Jan. 1859
Wilhelm Markgraf von Baden	8. April 1792
Wilhelm Prinz von Baden	18. Dez. 1829
Wilhelm	25. April 1806
Wilhelm	1027
Wilhelm IV.	1532
Wilhelm	2. Jan. 1743
Wilhelm Großherzog von Luxemburg	22. April 1852
Wilhelm	29. Dez. 1343
Wilhelm	16. April 1533
Wilhelm Prinz von Preußen	3. Juli 1783
Wilhelm Ernst Großherzog von Sachsen-Weimar-Eisen	10. Juni 1876
Wilhelm Graf zu Schaumburg-Lippe	9. Jan. 1724
Wilhelm	27. Sept. 1781
Wilhelm Herzog von Württemberg	20. Juli 1828
Karl Wilhelm	5. Sept. 1815
Wilhelmina Königin der Niederlande	31. Aug. 1880
Wilhelmine Markgräfin von Bayreuth	3. Juli 1709
August Wilhelmj	21. Sept. 1845
Friedrich Wilken	23. Mai 1777
John Wilkes	17. Okt. 1727
Sir David Wilkie	18. Nov. 1785
Johann Georg Wille	5. Nov. 1715
Marianne von Willemer	20. Nov. 1784
Jan Frans Willems	11. März 1793
Alexander Williamson	1. Mai 1824
Wilhelm von Willisen	30. April 1790
Ernst Adolf Willkomm	10. Febr. 1810
Otto Willmann	24. April 1839
Wilhelm Wilmanns	14. März 1842
Robert Friedrich Wilms	9. Sept. 1824
Alexander Wilson	6. Juli 1766
Henry Wilson	16. Febr. 1812
Horace Hayman Wilson	26. Sept. 1786
John Wilson	18. Mai 1785
Ludwig Wimmer	7. Febr. 1839
Emanuel Wimpffen	13. Sept. 1811
Jakob Wimpheling	27. Juli 1450
Franz von Winckel	5. Juni 1837
George Franz Dietrich aus dem Winckell	2. Febr. 1762
Winckelmann	9. Dez. 1717
Hugo Winckler	4. Juli 1863
Wilhelm Windelband	11. Mai 1848
Ernst Windisch	4. Sept. 1844
Windisch-Grätz	11. Mai 1787
Bernhard Windscheid	26. Juni 1817
Ludwig Windthorst	17. Jan. 1812
Georg Benedikt Winer	13. April 1789
Jan te Winkel	16. Nov. 1847
Adolf Winkelmann	17. Okt. 1848
Eduard Winkelmann	25. Juni 1838
Karl Gottfried Theodor Winkler	9. Febr. 1775
Klemens Alexander Winkler	26. Dez. 1838
Ludwig Georg Winter	18. Jan. 1778
Winter	1775
Alexander Winterberger	14. Aug. 1834
Landelin Winterer	28. Febr. 1832
Adolf von Winterfeld	9. Dez. 1824
Hans Karl von Winterfeldt	4. April 1707
Franz Winterhalter	20. April 1806
Wilhelm Winternitz	1. März 1835
Christian Winther	29. Juli 1796
Ferdinand Wintzingerode	15. Febr. 1770
Georg Ernst Lewin Wintzingerode	27. Nov. 1752
Johann Georg August Wirth	20. Nov. 1798
Nicolas Wiseman	2. Aug. 1802
Hermann Wislicenus	20. Sept. 1825
Johannes Wislicenus	24. Juni 1835
Hermann von Wissmann	4. Sept. 1853
Georg Wissowa	17. Juni 1859
Wit	1800
Witt	1625
Karl Witte	1. Juli 1800
Witte	1548
Sergej Juljewitsch Witte	29. Juli 1849
Ludwig Adolf Peter Wittgenstein	17. Jan. 1769
August Wittig	23. März 1823
Karl August Friedrich von Witzleben	27. März 1773
Wladímir Alexándrowitsch Großfürst von Rußland	22. April 1847
Wladislaw	1456
Wladislaw	1375
Julius Wlassics	17. März 1852
Charles Frédéric Auguste Woeste	26. Febr. 1837
Friedrich Wöhler	31. Juli 1800
Wohlgemuth	1434
Alexander Iwanowitsch Wojejkow	20. Mai 1842
Wolcot	1738
Adam Wolf	12. Juli 1822
Christian Wolf	24. Jan. 1679
Ferdinand Wolf	8. Dez. 1796
Friedrich August Wolf	15. Febr. 1759
Hugo Wolf	13. März 1860
Julius Wolf	20. April 1862
Karl Hermann Wolf	27. Jan. 1862
Ludwig Wolf	30. Juni 1850
James Wolfe	2. Jan. 1726
Albert Wolff	14. Nov. 1814
Emil Wolff	2. März 1802
Wolff	12. Okt. 1830
Julius Wolff	16. Sept. 1834
Wolff	1733
Pius Alexander Wolff	3. Mai 1782
Wilhelm Wolff	6. April 1816
Eduard Wölfflin	1. Jan. 1831
Paul Wolff-Metternich zur Gracht	5. Dez. 1853
Wolfgang	1492
William Hyde Wollaston	6. Aug. 1766
Johann Christoph von Wöllner	19. Mai 1732
Garnet Wolseley	4. Juni 1833
Wolsey	1471
Charlotte Wolter	1. März 1834
Alfred Woltmann	18. Mai 1841
Hans Wolzogen	13. Nov. 1848
Karoline von Wolzogen	3. Febr. 1763
Wood	1814
Wood	1838
William Woollett	27. Aug. 1735
William Wordsworth	7. April 1770
Karl Woermann	4. Juli 1844
Woronzów	1714
Jens Jacob Asmussen Worsaae	14. März 1821
Alexander Christoforowitsch Wostókow	27. März 1781
Philipp Wouwerman	24. Mai 1619
Ferdinand Petrowitsch Wrangel	9. Jan. 1795
Friedrich Heinrich Ernst Wrangel	13. April 1784
Karl Gustav Wrangel	13. Dez. 1613
Karl Philipp Wrede	29. April 1767
Sir Christopher Wren	20. Okt. 1632
William Wright	17. Jan. 1830
Richard Wülker	29. Juli 1845
Adolf Wüllner	13. Juni 1835
Franz Wüllner	28. Jan. 1832
Karl August Wunderlich	4. Aug. 1815
Wilhelm Wundt	16. Aug. 1832
August Wünsche	22. Juli 1839
Dagobert Siegmund Wurmser	7. Mai 1724
Alexander Württemberg	5. Nov. 1801
Charles Adolphe Wurtz	26. Nov. 1817
Constant Wurzbach	11. April 1818
Ferdinand Wüstenfeld	31. Juli 1808
Gustav Wustmann	23. Mai 1844
Heinrich Wuttke	12. Febr. 1818
Wyatt	1503
Wycherley	1640
Daniel Wyttenbach	7. Aug. 1746
Xaver	1506
Franz August Xaver	25. Aug. 1730
Yamagata	1838
Yates	Juli 1831
Yeames	Dez. 1835
Alexandre Yersin	22. Sept. 1863
Yonge	1823
Hans Davon Ludwig Yorck von Wartenburg	26. Sept. 1759
Brigham Young	1. Juni 1801
Thomas Young	13. Juni 1773
Younghusband	Mai 1863
Familie Ypsilantis	12. Dez. 1792
Yriarte	1620
Eugen Ysaye	16. Juli 1858
Eugen Zabel	23. Dez. 1851
Heinrich Albert Zachariä	20. Nov. 1806
Justus Friedrich Wilhelm Zachariä	1. Mai 1726
Karl Salomo Zachariä	14. Sept. 1769
Otto Zacharias	27. Jan. 1846
Julius Zacher	15. Febr. 1816
Theodor Zahn	10. Okt. 1838
Alexander Zaimis	9. Nov. 1855
Filippo Zamboni	26. Okt. 1830
Jan Zamojski	1. April 1541
Zanardelli	1826
Karl Zangemeister	28. Nov. 1837
Israel Zangwill	14. Febr. 1864
Zankow	1828
Friedrich Zarncke	7. Juli 1825
Heinrich Adolf von Zastrow	11. Aug. 1801
Joseph Christian Zedlitz	28. Febr. 1790
Karl Abraham Zedlitz	4. Jan. 1731
Octavio Zedlitz und Neukirch	6. Dez. 1840
Robert Zedlitz und Trützschler	8. Dez. 1837
Heinrich Zeise	19. April 1822
Zeiß	1816
Heinrich Zeißberg	8. Juli 1839
Eduard Zeller	22. Jan. 1814
Karl Zeller	19. Juni 1842
Karl. Friedrich Zelter	11. Dez. 1758
Joseph Zemp	2. Sept. 1834
Max Zenger	2. Febr. 1837
Friedrich Albert von Zenker	13. März 1825
Heinrich Antoine von Zeschau	4. Febr. 1789
Philipp von Zesen	8. Okt. 1619
Eugen Zetternam	4. April 1826
